LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
7,32,32.0,32.0,1516.0,15,15,1,1,1,3,3,2,0,1516,0.0,0,1,1,32,32,0
27,63,63.0,63.0,1516.0,15,15,1,1,6,2,7,15,1,1516,0.0,0,1,1,63,63,0
4,42,42.0,42.0,1516.0,15,15,1,1,3,1,0,0,0,1516,0.0,0,1,1,42,42,0
10,49,49.0,49.0,1516.0,15,15,1,1,3,1,5,1,3,1516,0.0,0,1,1,49,49,0
14,54,54.0,54.0,1516.0,15,15,1,1,2,2,6,3,0,1516,0.0,0,1,1,54,54,0
29,66,66.0,66.0,1516.0,15,15,1,1,8,1,5,6,0,1516,0.0,0,1,1,66,66,0
12,41,41.0,41.0,1516.0,15,15,1,1,4,2,1,0,0,1516,0.0,0,1,1,41,41,0
13,43,43.0,43.0,1516.0,15,15,1,1,3,1,3,2,1,1516,0.0,0,1,1,43,43,0
20,76,20.0,22.67,515.0,15,6,3,3,6,2,6,5,15,1516,1.0344,0,3,2,76,54,0
9,52,21.0,23.5,762.5,15,4,1,1,2,1,3,0,0,1516,0.8113,0,2,1,52,39,0
11,54,24.0,25.5,771.0,15,6,2,2,3,2,5,5,3,1516,0.6913,0,2,2,54,44,0
18,84,84.0,84.0,1516.0,15,15,1,1,3,2,11,6,0,1516,0.0,0,1,1,84,84,0
7,38,38.0,38.0,1516.0,15,15,1,1,5,1,4,0,10,1516,0.0,0,1,1,38,38,0
9,41,41.0,41.0,1516.0,15,15,1,1,1,3,5,5,0,1516,0.0,0,1,1,41,41,0
31,84,36.0,39.0,771.0,15,6,2,2,7,2,4,6,10,1516,0.7025,0,2,2,84,68,0
72,121,121.0,121.0,1516.0,15,15,1,1,20,1,9,0,6,1516,0.0,0,1,1,121,121,0
7,36,36.0,36.0,1516.0,15,15,1,1,5,1,2,0,10,1516,0.0,0,1,1,36,36,0
12,54,25.0,26.0,771.0,15,6,2,2,2,2,3,5,0,1516,0.5033,0,2,2,54,48,0
28,66,66.0,66.0,1516.0,15,15,1,1,8,4,1,0,24,1516,0.0,0,1,1,66,66,0
35,94,94.0,94.0,1516.0,15,15,1,1,8,2,12,17,10,1516,0.0,0,1,1,94,94,0
4,47,47.0,47.0,1516.0,15,15,1,1,2,1,2,0,1,1516,0.0,0,1,1,47,47,0
1,31,31.0,31.0,1516.0,15,15,1,1,0,1,0,0,0,1516,0.0,0,1,1,31,31,0
15,52,52.0,52.0,1516.0,15,15,1,1,4,2,6,7,6,1516,0.0,0,1,1,52,52,0
9,39,39.0,39.0,1516.0,15,15,1,1,2,2,2,0,1,1516,0.0,0,1,1,39,39,0
8,51,19.5,22.5,771.0,15,6,2,2,2,2,4,4,1,1516,0.8479,0,2,2,51,37,0
19,71,71.0,71.0,1516.0,15,15,1,1,4,1,8,3,4,1516,0.0,0,1,1,71,71,0
32,90,90.0,90.0,1516.0,15,15,1,1,7,1,9,7,4,1516,0.0,0,1,1,90,90,0
12,48,48.0,48.0,1516.0,15,15,1,1,4,2,5,7,6,1516,0.0,0,1,1,48,48,0
3,27,27.0,27.0,1516.0,15,15,1,1,1,1,1,0,0,1516,0.0,0,1,1,27,27,0
6,33,33.0,33.0,1516.0,15,15,1,1,1,3,2,0,0,1516,0.0,0,1,1,33,33,0
14,45,45.0,45.0,1516.0,15,15,1,1,2,1,3,4,1,1516,0.0,0,1,1,45,45,0
34,73,73.0,73.0,1516.0,15,15,1,1,8,2,3,6,0,1516,0.0,0,1,1,73,73,0
37,102,102.0,102.0,1516.0,15,15,1,1,8,2,12,18,10,1516,0.0,0,1,1,102,102,0
36,86,86.0,86.0,1516.0,15,15,1,1,9,2,9,15,15,1516,0.0,0,1,1,86,86,0
26,70,70.0,70.0,1516.0,15,15,1,1,1,3,9,6,0,1516,0.0,0,1,1,70,70,0
51,98,98.0,98.0,1516.0,15,15,1,1,16,3,3,7,21,1516,0.0,0,1,1,98,98,0
7,43,18.5,20.0,758.5,15,9,2,2,1,2,3,6,0,1516,0.6931,0,2,1,43,35,0
9,41,41.0,41.0,1516.0,15,15,1,1,7,1,3,0,21,1516,0.0,0,1,1,41,41,0
