LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
101,253,117.5,122.0,759.5,15,2,2,2,5,3,22,26,1,1516,0.5693,0,2,2,253,219,0
37,98,47.0,48.0,760.0,15,1,2,2,1,1,0,0,0,1516,0.1437,0,2,1,98,96,0
27,78,36.0,37.5,762.5,15,13,2,2,7,4,9,2,6,1516,0.5159,0,2,2,78,69,0
52,144,144.0,144.0,1516.0,15,15,1,1,9,2,15,15,0,1516,0.0,0,1,1,144,144,0
20,85,24.5,33.5,761.5,15,13,2,2,7,1,3,7,3,1516,0.9465,0,2,2,85,54,0
49,96,96.0,96.0,1516.0,15,15,1,1,15,2,5,15,8,1516,0.0,0,1,1,96,96,0
66,144,36.0,36.0,384.0,15,1,4,4,18,3,12,6,100,1516,0.7686,0,4,2,144,122,0
89,153,153.0,153.0,1516.0,15,15,1,1,27,2,4,3,260,1516,0.0,0,1,1,153,153,0
99,213,213.0,213.0,1516.0,15,15,1,1,33,1,11,30,0,1516,0.0,0,1,1,213,213,0
138,235,235.0,235.0,1516.0,15,15,1,1,37,2,5,2,586,1516,0.0,0,1,1,235,235,0
10,40,40.0,40.0,1516.0,15,15,1,1,3,3,2,0,1,1516,0.0,0,1,1,40,40,0
30,244,244.0,244.0,1516.0,15,15,1,1,1,1,0,0,0,1516,0.0,0,1,1,244,244,0
56,119,119.0,119.0,1516.0,15,15,1,1,4,4,14,7,1,1516,0.0,0,1,1,119,119,0
63,107,53.5,53.5,761.5,15,9,2,2,17,2,2,1,91,1516,0.4479,0,2,2,107,97,0
53,114,114.0,114.0,1516.0,15,15,1,1,4,4,14,7,1,1516,0.0,0,1,1,114,114,0
3,31,31.0,31.0,1516.0,15,15,1,1,0,3,3,0,0,1516,0.0,0,1,1,31,31,0
46,112,112.0,112.0,1516.0,15,15,1,1,2,5,14,9,0,1516,0.0,0,1,1,112,112,0
124,205,205.0,205.0,1516.0,15,15,1,1,36,1,12,16,192,1516,0.0,0,1,1,205,205,0
89,195,195.0,195.0,1516.0,15,15,1,1,1,3,16,9,0,1516,0.0,0,1,1,195,195,0
226,446,140.67,144.67,507.67,15,3,2,2,52,2,25,72,45,1516,0.437,0,3,3,446,411,0
10,33,33.0,33.0,1516.0,15,15,1,1,2,3,0,0,0,1516,0.0,0,1,1,33,33,0
3,31,31.0,31.0,1516.0,15,15,1,1,0,1,2,1,0,1516,0.0,0,1,1,31,31,0
82,253,64.33,74.33,517.0,15,6,3,3,23,2,12,10,120,1516,1.0828,0,3,2,253,178,0
98,169,84.5,84.5,764.0,15,1,2,2,33,2,3,5,244,1516,0.6477,0,2,2,169,141,0
108,264,264.0,264.0,1516.0,15,15,1,1,22,2,23,18,0,1516,0.0,0,1,1,264,264,0
25,75,75.0,75.0,1516.0,15,15,1,1,6,2,10,2,11,1516,0.0,0,1,1,75,75,0
57,132,132.0,132.0,1516.0,15,15,1,1,16,2,15,4,72,1516,0.0,0,1,1,132,132,0
34,110,110.0,110.0,1516.0,15,15,1,1,12,1,10,11,46,1516,0.0,0,1,1,110,110,0
258,629,141.25,149.25,386.25,15,3,3,3,76,1,28,67,0,1516,0.6133,0,4,3,629,566,0
34,79,79.0,79.0,1516.0,15,15,1,1,6,4,9,11,10,1516,0.0,0,1,1,79,79,0
83,176,176.0,176.0,1516.0,15,15,1,1,1,2,14,4,0,1516,0.0,0,1,1,176,176,0
36,65,65.0,65.0,1516.0,15,15,1,1,10,1,2,1,0,1516,0.0,0,1,1,65,65,0
11,69,69.0,69.0,1516.0,15,15,1,1,4,1,0,1,0,1516,0.0,0,1,1,69,69,0
128,378,153.0,171.0,771.0,15,6,2,2,30,2,7,12,153,1516,0.7344,0,2,2,378,300,0
122,282,282.0,282.0,1516.0,15,15,1,1,30,1,2,12,0,1516,0.0,0,1,1,282,282,1
70,214,58.0,64.67,515.67,15,1,3,3,16,2,32,19,15,1516,0.7978,0,3,2,214,175,0
288,401,401.0,401.0,1516.0,15,15,1,1,76,1,28,1,0,1516,0.0,0,1,1,401,401,0
38,79,79.0,79.0,1516.0,15,15,1,1,8,2,12,12,1,1516,0.0,0,1,1,79,79,0
41,107,107.0,107.0,1516.0,15,15,1,1,4,2,10,12,0,1516,0.0,0,1,1,107,107,0
79,178,178.0,178.0,1516.0,15,15,1,1,20,1,3,25,5,1516,0.0,0,1,1,178,178,0
298,548,262.0,268.0,760.0,15,13,1,1,62,2,30,83,114,1516,0.1903,0,2,2,548,532,0
37,111,111.0,111.0,1516.0,15,15,1,1,14,2,2,3,8,1516,0.0,0,1,1,111,111,0
32,104,104.0,104.0,1516.0,15,15,1,1,10,2,6,8,28,1516,0.0,0,1,1,104,104,0
3,29,29.0,29.0,1516.0,15,15,1,1,0,3,2,0,0,1516,0.0,0,1,1,29,29,0
2,28,28.0,28.0,1516.0,15,15,1,1,0,3,3,0,0,1516,0.0,0,1,1,28,28,0
32,72,72.0,72.0,1516.0,15,15,1,1,9,2,5,2,32,1516,0.0,0,1,1,72,72,0
