Release,Class_Name,LOC,LOC_TOUCHED,AVC,ALA,ACSS,AGE,AOC,NFIX,FIX,WMC,DIT,CBO,RFC,LCOM,NF,ENTROPY,NSMELLS,NR,NAUTH,CHURN,MAX_CHURN,Bugginess
syncope-1.0.0-incubating,org.apache.syncope.console.pages.WelcomePage,9,47,22.50,23.00,771.00,15,6,2,2,1,2,5,2,0,1516,0.2539,2,2,2,47,45,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.ReportletConfInstance,21,65,65.00,65.00,1516.00,15,15,1,1,7,2,8,2,6,1516,0.0000,1,1,1,65,65,0
syncope-1.0.0-incubating,org.apache.syncope.types.CipherAlgorithm,8,37,37.00,37.00,1516.00,15,15,1,1,2,1,0,0,0,1516,0.0000,0,1,1,37,37,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.NoOpUserWorkflowAdapter,80,189,189.00,189.00,1516.00,15,15,1,1,19,2,13,13,105,1516,0.0000,4,1,1,189,189,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.SchemaController,54,144,144.00,144.00,1516.00,15,15,1,1,9,2,15,15,0,1516,0.0000,1,1,1,144,144,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.SyncopeConf,17,52,52.00,52.00,1516.00,15,15,1,1,4,2,4,0,2,1516,0.0000,1,1,1,52,52,0
syncope-1.0.0-incubating,org.apache.syncope.console.wicket.markup.html.form.AjaxCheckBoxPanel,43,96,47.00,47.50,760.00,15,13,1,1,5,4,6,7,3,1516,0.1461,1,2,2,96,94,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.ActivitiUserWorkflowAdapter,401,697,328.50,338.50,761.00,15,10,2,2,81,2,36,111,190,1516,0.3563,23,2,2,697,650,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.Resources,276,506,506.00,506.00,1516.00,15,15,1,1,3,5,24,14,0,1516,0.0000,17,1,1,506,506,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.Suspend,4,28,28.00,28.00,1516.00,15,15,1,1,1,2,2,0,0,1516,0.0000,0,1,1,28,28,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.AutoActivate,5,31,31.00,31.00,1516.00,15,15,1,1,1,2,2,1,0,1516,0.0000,0,1,1,31,31,0
syncope-1.0.0-incubating,org.apache.syncope.client.to.UserTO,130,213,213.00,213.00,1516.00,15,15,1,1,37,4,6,17,344,1516,0.0000,12,1,1,213,213,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.Todo,268,483,483.00,483.00,1516.00,15,15,1,1,3,6,25,14,0,1516,0.0000,13,1,1,483,483,0
syncope-1.0.0-incubating,org.apache.syncope.types.ConnectorCapability,1,35,35.00,35.00,1516.00,15,15,1,1,0,1,0,0,0,1516,0.0000,0,1,1,35,35,0
syncope-1.0.0-incubating,org.apache.syncope.console.commons.StatusBean,26,59,59.00,59.00,1516.00,15,15,1,1,7,1,1,0,15,1516,0.0000,1,1,1,59,59,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.attrvalue.InvalidAttrValueException,8,33,33.00,33.00,1516.00,15,15,1,1,2,2,2,0,1,1516,0.0000,0,1,1,33,33,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.ExecutionRestClient,5,31,31.00,31.00,1516.00,15,15,1,1,3,1,0,0,3,1516,0.0000,0,1,1,31,31,0
syncope-1.0.0-incubating,org.apache.syncope.core.policy.PasswordPolicyException,9,32,32.00,32.00,1516.00,15,15,1,1,2,3,0,0,1,1516,0.0000,0,1,1,32,32,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.impl.AbstractDAOImpl,34,92,92.00,92.00,1516.00,15,15,1,1,12,1,10,9,0,1516,0.0000,2,1,1,92,92,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.role.RVirSchema,3,31,31.00,31.00,1516.00,15,15,1,1,0,3,3,0,0,1516,0.0000,67,1,1,31,31,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.attrvalue.BasicValidator,21,56,27.00,27.50,758.50,15,4,2,2,7,2,4,7,1,1516,0.2223,0,2,2,56,54,0
syncope-1.0.0-incubating,org.apache.syncope.console.commons.SelectOption,33,72,72.00,72.00,1516.00,15,15,1,1,13,1,1,2,2,1516,0.0000,1,1,1,72,72,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.PolicyBeanPanel,130,295,131.50,139.50,758.50,15,14,2,2,4,2,18,14,1,1516,0.4953,18,2,2,295,263,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.UserSearchDAO,6,59,59.00,59.00,1516.00,15,15,1,1,4,1,3,0,6,1516,0.0000,0,1,1,59,59,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.BasePage,105,235,73.67,76.00,515.67,15,1,3,3,12,2,24,21,24,1516,0.3610,3,3,2,235,221,0
syncope-1.0.0-incubating,org.apache.syncope.types.SyncopeClientExceptionType,25,99,99.00,99.00,1516.00,15,15,1,1,7,1,1,3,2,1516,0.0000,2,1,1,99,99,0
syncope-1.0.0-incubating,org.apache.syncope.core.policy.AccountPolicyException,9,32,32.00,32.00,1516.00,15,15,1,1,2,3,0,0,1,1516,0.0000,0,1,1,32,32,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.ApprovalModalPage,111,211,211.00,211.00,1516.00,15,15,1,1,1,3,15,4,0,1516,0.0000,8,1,1,211,211,0
syncope-1.0.0-incubating,org.apache.syncope.client.mod.AbstractAttributableMod,128,271,125.50,130.50,758.50,15,13,1,1,36,2,2,6,402,1516,0.7627,1,2,2,271,211,0
syncope-1.0.0-incubating,org.apache.syncope.core.workflow.activiti.SyncopeGroupManager,52,114,114.00,114.00,1516.00,15,15,1,1,14,2,12,5,43,1516,0.0000,1,1,1,114,114,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.PropagationTasks,117,273,83.00,87.00,511.67,15,1,3,3,1,2,21,12,0,1516,0.6706,12,3,3,273,234,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.data.RoleDataBinder,126,232,232.00,232.00,1516.00,15,15,1,1,29,2,17,45,1,1516,0.0000,3,1,1,232,232,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.attrvalue.AbstractValidator,68,119,119.00,119.00,1516.00,15,15,1,1,17,1,7,21,4,1516,0.0000,10,1,1,119,119,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.RoleSecurityPanel,89,194,194.00,194.00,1516.00,15,15,1,1,1,3,17,12,0,1516,0.0000,2,1,1,194,194,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.RoleRestClient,31,116,52.00,55.00,771.00,15,6,2,2,7,2,5,6,10,1516,0.7355,0,2,2,116,92,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.NotificationController,52,143,143.00,143.00,1516.00,15,15,1,1,9,2,14,16,0,1516,0.0000,0,1,1,143,143,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.MembershipDAO,7,38,38.00,38.00,1516.00,15,15,1,1,5,1,4,0,10,1516,0.0000,0,1,1,38,38,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.user.UAttrValue,16,59,28.50,29.00,759.00,15,13,2,2,4,3,8,2,1,1516,0.3576,0,2,2,59,55,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.RoleTabPanel,37,100,100.00,100.00,1516.00,15,15,1,1,1,2,16,6,0,1516,0.0000,1,1,1,100,100,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.PasswordPolicy,10,40,40.00,40.00,1516.00,15,15,1,1,3,3,2,0,1,1516,0.0000,1,1,1,40,40,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.AccountPolicy,10,40,40.00,40.00,1516.00,15,15,1,1,3,3,2,0,1,1516,0.0000,1,1,1,40,40,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.ConfigurationController,95,229,111.50,113.00,767.50,15,13,1,1,15,2,20,33,0,1516,0.1750,3,2,2,229,223,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.entity.ReportValidator,29,71,71.00,71.00,1516.00,15,15,1,1,6,2,7,12,1,1516,0.0000,0,1,1,71,71,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.role.RDerAttr,23,69,31.50,33.00,762.50,15,13,2,2,6,3,6,2,2,1516,0.5970,1,2,2,69,59,0
syncope-1.0.0-incubating,org.apache.syncope.core.util.ConnObjectUtil,228,436,135.33,140.33,512.33,15,4,2,2,72,1,29,71,26,1516,0.4184,15,3,2,436,404,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.panels.SchedTasks,135,292,137.00,141.50,761.50,15,12,2,2,1,2,24,15,0,1516,0.4776,12,2,2,292,262,0
syncope-1.0.0-incubating,org.apache.syncope.console.rest.InvalidPolicyType,8,31,31.00,31.00,1516.00,15,15,1,1,2,3,0,0,1,1516,0.0000,1,1,1,31,31,0
syncope-1.0.0-incubating,org.apache.syncope.console.pages.Logout,10,60,16.00,18.00,518.33,15,6,3,3,1,3,5,10,0,1516,1.2014,0,3,2,60,41,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.user.UVirSchema,3,32,32.00,32.00,1516.00,15,15,1,1,0,3,4,0,0,1516,0.0000,67,1,1,32,32,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.SchedTask,17,51,51.00,51.00,1516.00,15,15,1,1,4,3,4,0,2,1516,0.0000,2,1,1,51,51,0
syncope-1.0.0-incubating,org.apache.syncope.core.rest.controller.UserRequestController,92,221,221.00,221.00,1516.00,15,15,1,1,16,1,21,26,0,1516,0.0000,0,1,1,221,221,0
syncope-1.0.0-incubating,org.apache.syncope.console.commons.RoleTreeBuilder,55,111,111.00,111.00,1516.00,15,15,1,1,7,5,7,10,6,1516,0.0000,4,1,1,111,111,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.dao.impl.RoleDAOImpl,110,256,100.00,114.00,760.00,15,14,2,2,26,2,14,33,89,1516,0.8464,2,2,1,256,186,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.beans.AbstractBaseBean,62,135,135.00,135.00,1516.00,15,15,1,1,17,1,2,22,21,1516,0.0000,3,1,1,135,135,0
syncope-1.0.0-incubating,org.apache.syncope.core.persistence.validation.attrvalue.EmailAddressValidator,12,43,43.00,43.00,1516.00,15,15,1,1,3,2,4,4,1,1516,0.0000,0,1,1,43,43,0
syncope-1.0.0-incubating,org.apache.syncope.types.PropagationOperation,1,26,26.00,26.00,1516.00,15,15,1,1,0,1,0,0,0,1516,0.0000,0,1,1,26,26,0
